id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
107,FLONA DE NEGREIROS,FLONA,FLORESTA NACIONAL DE NEGREIROS,Gestao singular,GR2,0000.00.1605,DEC S/N de 11/10/2007,PE,CAATINGA,CAATINGA,3004.56148579722
108,FLONA DE PACOTUBA,FLONA,FLORESTA NACIONAL DE PACOTUBA,Gestao singular,GR4,0000.00.0101,DEC S/N de 13/12/2002,ES,MATA ATLANTICA,MATA ATLANTICA,449.40962300288
109,FLONA DE PALMARES,FLONA,FLORESTA NACIONAL DE PALMARES,Gestao singular,GR2,0000.00.0102,DEC S/N de 21/02/2005,PI,CERRADO,CERRADO,168.21068197328
110,FLONA DE PARAOPEBA,FLONA,FLORESTA NACIONAL DE PARAOPEBA,Gestao singular,GR4,0000.00.0103,Portaria 248 de 18/07/2001,MG,CERRADO,CERRADO,203.29196887005
111,FLONA DE PASSA QUATRO,FLONA,FLORESTA NACIONAL DE PASSA QUATRO,ICMBio Mantiqueira,GR4,0000.00.0129,Portaria 562 de 25/10/1968,MG,MATA ATLANTICA,MATA ATLANTICA,335.37310669485
112,FLONA DE PASSO FUNDO,FLONA,FLORESTA NACIONAL DE PASSO FUNDO,Gestao singular,GR5,0000.00.0130,Portaria 561 de 25/10/1968,RS,MATA ATLANTICA,MATA ATLANTICA,1333.63137444573
113,FLONA DE PAU-ROSA,FLONA,FLORESTA NACIONAL DE PAU-ROSA,ICMBio Maues,GR1,0000.00.0104,DEC S/N de 07/08/2001.,AM,AMAZONIA,AMAZONIA,988186.718046912
114,FLONA DE PIRAI DO SUL,FLONA,FLORESTA NACIONAL DE PIRAI DO SUL,ICMBio Campos Gerais,GR5,0000.00.0131,DEC S/N de 02/06/2004,PR,MATA ATLANTICA,MATA ATLANTICA,150.61440304016
115,FLONA DE RITAPOLIS,FLONA,FLORESTA NACIONAL DE RITAPOLIS,Gestao singular,GR4,0000.00.0105,DEC S/N de 21/09/1999,MG,MATA ATLANTICA,MATA ATLANTICA,89.19009508869
116,FLONA DE RORAIMA,FLONA,FLORESTA NACIONAL DE RORAIMA,ICMBio Roraima,GR1,0000.00.0106,DEC  97.545. de 01/03/1989; LEI 12.058. de 13/12/2009.,AM;RR,AMAZONIA,AMAZONIA,169628.701656734
117,FLONA DE SAO FRANCISCO,FLONA,FLORESTA NACIONAL DE SAO FRANCISCO,ICMBio Sena Madureira,GR1,0000.00.0108,DEC S/N de 07/08/2001,AC,AMAZONIA,AMAZONIA,21147.8044346541
118,FLONA DE SAO FRANCISCO DE PAULA,FLONA,FLORESTA NACIONAL DE SAO FRANCISCO DE PAULA,Gestao singular,GR5,0000.00.0133,Portaria 561 de 25/10/1968,RS,MATA ATLANTICA,MATA ATLANTICA,1615.60020753184
119,FLONA DE SANTA ROSA DO PURUS,FLONA,FLORESTA NACIONAL DE SANTA ROSA DO PURUS,ICMBio Alto Tarauaca-Santa Rosa do Purus,GR1,0000.00.0107,DEC S/N de 07/08/2001,AC,AMAZONIA,AMAZONIA,231556.880725344
120,FLONA DE SARACA-TAQUERA,FLONA,FLORESTA NACIONAL DE SARACA-TAQUERA,ICMBio Trombetas,GR1,0000.00.0109,DEC  98.704. de 27/12/1989,PA,AMAZONIA,AMAZONIA,441287.986835773
121,FLONA DE SILVANIA,FLONA,FLORESTA NACIONAL DE SILVANIA,Gestao singular,GR3,0000.00.0110,Portaria 247 de 18/07/2001,GO,CERRADO,CERRADO,486.60781347076
122,FLONA DE SOBRAL,FLONA,FLORESTA NACIONAL DE SOBRAL,Gestao singular,GR2,0000.00.0111,Portaria 358. de 27/09/2001,CE,CAATINGA,CAATINGA,661.02336418634
123,FLONA DE TEFE,FLONA,FLORESTA NACIONAL DE TEFE,ICMBio Tefe,GR1,0000.00.0112,DEC  97.629. de 10/04/1989.,AM,AMAZONIA,AMAZONIA,865126.615368193
124,FLONA DE TRES BARRAS,FLONA,FLORESTA NACIONAL DE TRES BARRAS,Gestao singular,GR5,0000.00.0134,Portaria 560 de 25/12/1968,SC,MATA ATLANTICA,MATA ATLANTICA,4385.3595315544
125,FLONA DE URUPADI,FLONA,FLORESTA NACIONAL DE URUPADI,ICMBio Humaita,GR1,0000.00.3408,DEC S/N de 11/05/2016,AM,AMAZONIA,AMAZONIA,538081.090983721
