id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
172,PARNA DA SERRA DO PARDO,PARNA,PARQUE NACIONAL DA SERRA DO PARDO,ICMBio Terra do Meio,GR1,0000.00.0151,DEC S/N. de 17/02/2005,PA,AMAZONIA,AMAZONIA,445413.447319614
173,PARNA DA SERRA DO TEIXEIRA,PARNA,PARQUE NACIONAL DA SERRA DO TEIXEIRA,Gestao singular,GR2,0000.00.4581,DEC 11.522 de 05/06/2023,PB,CAATINGA,CAATINGA,61095.7025799668
174,PARNA DA SERRA DOS ORGAOS,PARNA,PARQUE NACIONAL DA SERRA DOS ORGAOS,ICMBio Serra Fluminense,GR4,0000.00.0152,DEC 1.822. de 30/11/1939 ;DEC 90.023. de 02/08/1984 ;DEC S/N. de 13/09/2008; LEI 14452 de 21/09/2022; LEI 14516 de 29/12/2022,RJ,MATA ATLANTICA,MATA ATLANTICA,19850.3065728119
175,PARNA DE SERRA GERAL,PARNA,PARQUE NACIONAL DA SERRA GERAL,Gestao singular,GR5,0000.00.0153,DEC 531. de 20/05/1992,SC;RS,MATA ATLANTICA,MATA ATLANTICA,17302.0081534414
176,PARNA DA TIJUCA,PARNA,PARQUE NACIONAL DA TIJUCA,Gestao singular,GR4,0000.00.0154,DEC 50.923. de 06/07/1961 ;DEC 60.183. de 08/02/1967 ;DEC 70.186. de 23/02/1972 ;DEC S/N. de 03/06/2004,RJ,MATA ATLANTICA,MATA ATLANTICA,3958.51168382284
177,PARNA DAS ARAUCARIAS,PARNA,PARQUE NACIONAL DAS ARAUCARIAS,ICMBio Palmas,GR5,0000.00.0262,DEC S/N. de 19/10/2005,SC,MATA ATLANTICA,MATA ATLANTICA,12809.5883619646
178,PARNA DAS EMAS,PARNA,PARQUE NACIONAL DAS EMAS,Gestao singular,GR3,0000.00.0155,DEC 49.874. de 11/01/1961; DEC 70.375. de 06/04/1972,MS;GO,CERRADO,CERRADO,132787.860274952
179,PARNA DAS NASCENTES DO RIO PARNAIBA,PARNA,PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA,Gestao singular,GR2,0000.00.0156,DEC S/N. de 16/07/2002; LEI 13.090. de 12/01/2015,MA;PI;BA,CERRADO,CERRADO,749774.175082093
180,PARNA DAS SEMPRE VIVAS,PARNA,PARQUE NACIONAL DAS SEMPRE-VIVAS,Gestao singular,GR4,0000.00.0157,DEC S/N. de 13/12/2002,MG,CERRADO,CERRADO,124155.899321356
181,PARNA DE ANAVILHANAS,PARNA,PARQUE NACIONAL DE ANAVILHANAS,ICMBio Novo Airao,GR1,0000.00.0049,DEC 86.061. de 02/06/1981;LEI 11.799. de 29/10/2008,AM,AMAZONIA,AMAZONIA,350243.312276162
182,PARNA DE APARADOS DA SERRA,PARNA,PARQUE NACIONAL DE APARADOS DA SERRA,Gestao singular,GR5,0000.00.0158,DEC 47.446. de 17/12/1959;DEC 70.296. de 17/03/1972,SC;RS,MATA ATLANTICA,MATA ATLANTICA,12973.9150695372
183,PARNA DE BOA NOVA,PARNA,PARQUE NACIONAL DE BOA NOVA,ICMBio Sudoeste Baiano,GR2,0000.00.1908,DEC S/N. de 11/06/2010,BA,MATA ATLANTICA,MATA ATLANTICA,12294.6641979655
184,PARNA DE BRASILIA,PARNA,PARQUE NACIONAL DE BRASILIA,ICMBio Brasilia-Contagem,GR3,0000.00.0159,DEC 241. de 29/11/1961; LEI 11.285. de 09/03/2006,DF,CERRADO,CERRADO,42355.5418563825
185,PARNA DE CAPARAO,PARNA,PARQUE NACIONAL DE CAPARAO,Gestao singular,GR4,0000.00.0160,DEC 50.646. de 24/05/1961; DEC S/N. de 20/11/1991; DEC S/N. de 20/11/1997,ES;MG,MATA ATLANTICA,MATA ATLANTICA,31763.2913850562
186,PARNA DE ILHA GRANDE,PARNA,PARQUE NACIONAL DE ILHA GRANDE,ICMBio Rio Parana,GR5,0000.00.0161,DEC S/N. de 30/09/1997,MS;PR,MATA ATLANTICA,MATA ATLANTICA,76138.1861528409
187,PARNA DE ITATIAIA,PARNA,PARQUE NACIONAL DE ITATIAIA,Gestao singular,GR4,0000.00.0184,DEC 1.713. de 14/06/1937; DEC 87.586. de 20/09/1982,MG;RJ,MATA ATLANTICA,MATA ATLANTICA,28086.3496202602
188,PARNA DE JERICOACOARA,PARNA,PARQUE NACIONAL DE JERICOACOARA,Gestao singular,GR2,0000.00.0162,DEC S/N. de 04/02/2002; LEI 11.486. de 15/06/2007,CE,CAATINGA,CAATINGA,8855.46858470713
189,PARNA DE PACAAS NOVOS,PARNA,PARQUE NACIONAL DE PACAAS NOVOS,Gestao singular,GR1,0000.00.0163,DEC 84.019. de 21/09/1979,RO,AMAZONIA,AMAZONIA,706104.463472
190,PARNA DE SAO JOAQUIM,PARNA,PARQUE NACIONAL DE SAO JOAQUIM,Gestao singular,GR5,0000.00.0165,DEC 50.922. de 06/07/1961; LEI 13273. de15/04/2016,SC,MATA ATLANTICA,MATA ATLANTICA,49672.375646327
191,PARNA DE SAINT-HILAIRE/LANGE,PARNA,PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,ICMBio Matinhos,GR5,0000.00.0164,LO 10.227. de 23/05/2001,PR,MATA ATLANTICA,MATA ATLANTICA,24352.4261917652
192,PARNA DE SETE CIDADES,PARNA,PARQUE NACIONAL DE SETE CIDADES,Gestao singular,GR2,0000.00.0166,DEC 50.744. de 05/06/1961,PI,CAATINGA,CAATINGA,6303.73683393559
193,PARNA DE UBAJARA,PARNA,PARQUE NACIONAL DE UBAJARA,Gestao singular,GR2,0000.00.0167,DEC 45.954. de 30/04/1959; DEC 72.144. de 26/04/1973; DEC S/N. de 13/12/2002,CE,CAATINGA,CAATINGA,6304.44278656987
194,PARNA DO ACARI,PARNA,PARQUE NACIONAL DO ACARI,ICMBio Humaita,GR1,0000.00.3410,DEC S/N de 11/05/2016,AM,AMAZONIA,AMAZONIA,896410.954126255
195,PARNA DO ALTO CARIRI,PARNA,PARQUE NACIONAL DO ALTO CARIRI,Gestao singular,GR2,0000.00.1910,DEC S/N. de 11/06/2010,BA,MATA ATLANTICA,MATA ATLANTICA,19238.2620919235
196,PARNA DO ARAGUAIA,PARNA,PARQUE NACIONAL DO ARAGUAIA,Gestao singular,GR3,0000.00.0168,DEC 47.570. de 31/12/1959; DEC 84.844. de 24/06/1980,TO,CERRADO,CERRADO,555524.438295719
